species,species_lemmatized
Aquisediminimonas sediminicola,Aquisediminimonas sediminicola
Aquisphaera giovannonii,aquisphaera giovannonii
Aquitalea denitrificans,Aquitalea denitrifican
Aquitalea magnusonii,Aquitalea magnusonii
Aquitalea pelogenes,Aquitalea pelogenes
Aquitalea sp.,Aquitalea sp .
Arachidicoccus ginsenosidivorans,Arachidicoccus ginsenosidivorans
Arachnia propionica,Arachnia propionica
Arachnia rubra,Arachnia rubra
Arboricoccus pini,Arboricoccus pini
Arcanobacterium bovis,arcanobacterium bovis
Arcanobacterium canis,arcanobacterium canis
Arcanobacterium haemolyticum,arcanobacterium haemolyticum
Arcanobacterium hippocoleae,arcanobacterium hippocoleae
Arcanobacterium phocae,arcanobacterium phocae
Arcanobacterium phocisimile,arcanobacterium phocisimile
Arcanobacterium pinnipediorum,arcanobacterium pinnipediorum
Arcanobacterium pluranimalium,arcanobacterium pluranimalium
Arcanobacterium sp.,arcanobacterium sp .
Arcanobacterium wilhelmae,arcanobacterium wilhelmae
Archaeoglobus fulgidus,Archaeoglobus fulgidus
Archaeoglobus infectus,archaeoglobus infectus
Archaeoglobus profundus,Archaeoglobus profundus
Archaeoglobus sulfaticallidus,Archaeoglobus sulfaticallidus
Archaeoglobus veneficus,Archaeoglobus veneficus
Archangium disciforme,archangium disciforme
Archangium gephyra,archangium gephyra
Archangium minus,archangium minus
Archangium sp.,archangium sp .
Archangium violaceum,Archangium violaceum
Arcicella aquatica,Arcicella aquatica
Arcicella aurantiaca,Arcicella aurantiaca
Arcicella rigui,Arcicella rigui
Arcicella rosea,Arcicella rosea
Arcobacter anaerophilus,arcobacter anaerophilus
Arcobacter antarcticus,arcobacter antarcticus
Arcobacter aquimarinus,arcobacter aquimarinus
Arcobacter butzleri,arcobacter butzleri
Arcobacter cibarius,Arcobacter cibarius
Arcobacter cryaerophilus,arcobacter cryaerophilus
Arcobacter defluvii,arcobacter defluvii
Arcobacter faecis,arcobacter faecis
Arcobacter lanthieri,Arcobacter lanthieri
Arcobacter lekithochrous,arcobacter lekithochrous
Arcobacter nitrofigilis,arcobacter nitrofigilis
Arcobacter parvus,Arcobacter parvus
Arcobacter porcinus,arcobacter porcinus
Arcobacter skirrowii,arcobacter skirrowii
Arcobacter thereius,Arcobacter thereius
Arcobacter trophiarum,arcobacter trophiarum
Arcticibacter eurypsychrophilus,arcticibacter eurypsychrophilus
Arcticibacter sp.,arcticibacter sp .
Arcticibacter svalbardensis,arcticibacter svalbardensis
Arcticibacter tournemirensis,arcticibacter tournemirensis
Arcticibacterium luteifluviistationis,arcticibacterium luteifluviistationis
Arcticiflavibacter luteus,arcticiflavibacter luteus
Ardenticatena maritima,Ardenticatena maritima
Arenibacter algicola,arenibacter algicola
Arenibacter antarcticus,arenibacter antarcticus
Arenibacter catalasegens,arenibacter catalasegens
Arenibacter certesii,arenibacter certesii
Arenibacter echinorum,arenibacter echinorum
Arenibacter hampyeongensis,arenibacter hampyeongensis
Arenibacter lacus,arenibacter lacus
Arenibacter latericius,arenibacter latericius
Arenibacter nanhaiticus,arenibacter nanhaiticus
Arenibacter palladensis,arenibacter palladensis
Arenibacter troitsensis,arenibacter troitsensis
Arenicella chitinivorans,arenicella chitinivorans
Arenicella xantha,Arenicella xantha
Arenimicrobium luteum,arenimicrobium luteum
Arenimonas aestuarii,Arenimonas aestuarii
Arenimonas alkanexedens,Arenimonas alkanexedens
Arenimonas caeni,Arenimonas caeni
Arenimonas composti,Arenimonas composti
Arenimonas daechungensis,Arenimonas daechungensis
Arenimonas daejeonensis,Arenimonas daejeonensis
Arenimonas donghaensis,Arenimonas donghaensis
Arenimonas halophila,Arenimonas halophila
Arenimonas malthae,Arenimonas malthae
Arenimonas maotaiensis,Arenimonas maotaiensis
Arenimonas metalli,Arenimonas metalli
Arenimonas oryziterrae,Arenimonas oryziterrae
Arenimonas soli,Arenimonas soli
Arenimonas sp.,Arenimonas sp .
Arenimonas subflava,Arenimonas subflava
Arenimonas taoyuanensis,Arenimonas taoyuanensis
Arenimonas terrae,Arenimonas terrae
Arenitalea lutea,arenitalea lutea
Arenivirga flava,Arenivirga flava
Arhodomonas aquaeolei,Arhodomonas aquaeolei
Arhodomonas recens,Arhodomonas recen
Aridibacter famidurans,aridibacter famiduran
Aridibacter kavangonensis,aridibacter kavangonensis
Aridibacter nitratireducens,aridibacter nitratireducens
Armatimonas rosea,Armatimonas rosea
Aromatoleum anaerobium,aromatoleum anaerobium
Aromatoleum aromaticum,aromatoleum aromaticum
Aromatoleum bremense,aromatoleum bremense
Aromatoleum buckelii,aromatoleum buckelii
Aromatoleum diolicum,aromatoleum diolicum
Aromatoleum evansii,aromatoleum evansii
Aromatoleum petrolei,aromatoleum petrolei
Aromatoleum pumilum,aromatoleum pumilum
Aromatoleum tolulyticum,aromatoleum tolulyticum
Aromatoleum toluolicum,aromatoleum toluolicum
Aromatoleum toluvorans,aromatoleum toluvorans
Arsenicicoccus bolidensis,arsenicicoccus bolidensis
Arsenicicoccus dermatophilus,arsenicicoccus dermatophilus
Arsenicicoccus piscis,Arsenicicoccus piscis
Arsenicitalea aurantiaca,Arsenicitalea aurantiaca
Arsenophonus nasoniae,arsenophonus nasoniae
Arsukibacterium ikkense,arsukibacterium ikkense
Arthrobacter agilis,arthrobacter agilis
Arthrobacter alkaliphilus,arthrobacter alkaliphilus
Arthrobacter alpinus,arthrobacter alpinus
Arthrobacter bambusae,arthrobacter bambusae
Arthrobacter bussei,arthrobacter bussei
Arthrobacter castelli,Arthrobacter castelli
Arthrobacter celericrescens,arthrobacter celericrescens
Arthrobacter citreus,arthrobacter citreus
Arthrobacter crusticola,arthrobacter crusticola
Arthrobacter crygenae,arthrobacter crygenae
Arthrobacter cryoconiti,arthrobacter cryoconiti
Arthrobacter crystallopoietes,arthrobacter crystallopoietes
Arthrobacter cupressi,arthrobacter cupressi
Arthrobacter deserti,arthrobacter deserti
Arthrobacter dextranlyticum,arthrobacter dextranlyticum
Arthrobacter echini,arthrobacter echini
Arthrobacter flavus,arthrobacter flavus
Arthrobacter gandavensis,arthrobacter gandavensis
Arthrobacter ginkgonis,arthrobacter ginkgonis
Arthrobacter ginsengisoli,arthrobacter ginsengisoli
Arthrobacter globiformis,arthrobacter globiformis
Arthrobacter gyeryongensis,arthrobacter gyeryongensis
Arthrobacter halodurans,arthrobacter haloduran
Arthrobacter humicola,arthrobacter humicola
Arthrobacter koreensis,arthrobacter koreensis
Arthrobacter liuii,arthrobacter liuii
Arthrobacter livingstonensis,arthrobacter livingstonensis
Arthrobacter luteolus,arthrobacter luteolus
Arthrobacter methylotrophus,arthrobacter methylotrophus
Arthrobacter mobilis,arthrobacter mobilis
Arthrobacter monumenti,arthrobacter monumenti
Arthrobacter nanjingensis,arthrobacter nanjingensis
Arthrobacter nitrophenolicus,arthrobacter nitrophenolicus
Arthrobacter oryzae,arthrobacter oryzae
Arthrobacter paludis,arthrobacter paludis
Arthrobacter parietis,arthrobacter parietis
Arthrobacter pascens,arthrobacter pascens
Arthrobacter pigmenti,arthrobacter pigmenti
Arthrobacter pityocampae,arthrobacter pityocampae
Arthrobacter psychrochitiniphilus,arthrobacter psychrochitiniphilus
Arthrobacter psychrolactophilus,arthrobacter psychrolactophilus
Arthrobacter ramosus,arthrobacter ramosus
Arthrobacter rhombi,arthrobacter rhombi
Arthrobacter roseus,arthrobacter roseus
Arthrobacter ruber,arthrobacter ruber
Arthrobacter russicus,arthrobacter russicus
Arthrobacter sedimenti,arthrobacter sedimenti
Arthrobacter sialophilus,arthrobacter sialophilus
Arthrobacter silvisoli,arthrobacter silvisoli
Arthrobacter silviterrae,arthrobacter silviterrae
Arthrobacter sp.,arthrobacter sp .
Arthrobacter stackebrandtii,arthrobacter stackebrandtii
Arthrobacter subterraneus,arthrobacter subterraneus
Arthrobacter tecti,arthrobacter tecti
Arthrobacter terricola,arthrobacter terricola
Arthrobacter tumbae,arthrobacter tumbae
Arthrobacter ulcerisalmonis,arthrobacter ulcerisalmonis
Arthrobacter woluwensis,arthrobacter woluwensis
Arthrobacter yangruifuii,arthrobacter yangruifuii
Arthrobacter zhaoguopingii,arthrobacter zhaoguopingii
Arundinibacter roseus,arundinibacter roseus
Arvibacter aurantiibacter,arvibacter aurantiibacter
Arvibacter flaviflagrans,arvibacter flaviflagrans
Asaccharospora irregularis,asaccharospora irregulari
Asaia astilbis,Asaia astilbis
Asaia bogorensis,Asaia bogorensis
Asaia krungthepensis,Asaia krungthepensis
Asaia platycodi,Asaia platycodi
Asaia prunellae,asaia prunellae
Asaia siamensis,Asaia siamensis
Asaia sp.,Asaia sp .
Asanoa endophytica,asanoa endophytica
Asanoa ferruginea,Asanoa ferruginea
Asanoa hainanensis,Asanoa hainanensis
Asanoa iriomotensis,Asanoa iriomotensis
Asanoa ishikariensis,Asanoa ishikariensis
Asanoa siamensis,Asanoa siamensis
Asanoa sp.,Asanoa sp .
Asprobacter aquaticus,asprobacter aquaticus
Asticcacaulis benevestitus,Asticcacaulis benevestitus
Asticcacaulis biprosthecium,asticcacaulis biprosthecium
Asticcacaulis excentricus,Asticcacaulis excentricus
Asticcacaulis solisilvae,Asticcacaulis solisilvae
Asticcacaulis taihuensis,asticcacaulis taihuensis
Astrosporangium hypotensionis,astrosporangium hypotensionis
Athalassotoga saccharophila,Athalassotoga saccharophila
Atopobacter phocae,atopobacter phocae
Atopobium deltae,atopobium deltae
Atopobium fossor,atopobium fossor
Atopobium minutum,atopobium minutum
Atopobium sp.,atopobium sp .
Atopococcus tabaci,Atopococcus tabaci
Atopomonas hussainii,Atopomonas hussainii
Atopostipes suicloacalis,atopostipes suicloacalis
Atribacter laminatus,atribacter laminatus
Aurantiacibacter aquimixticola,aurantiacibacter aquimixticola
Aurantiacibacter arachoides,aurantiacibacter arachoides
Aurantiacibacter gangjinensis,aurantiacibacter gangjinensis
Aurantiacibacter marinus,aurantiacibacter marinus
Aurantiacibacter odishensis,aurantiacibacter odishensis
Aurantiacibacter rhizosphaerae,aurantiacibacter rhizosphaerae
Aurantiacibacter suaedae,aurantiacibacter suaedae
Aurantiacicella marina,Aurantiacicella marina
Aurantibacter aestuarii,aurantibacter aestuarii
Aurantimicrobium minutum,aurantimicrobium minutum
Aurantimonas aggregata,Aurantimonas aggregata
Aurantimonas coralicida,Aurantimonas coralicida
Aurantimonas endophytica,Aurantimonas endophytica
Aurantimonas manganoxydans,Aurantimonas manganoxydans
Aurantimonas sp.,Aurantimonas sp .
Aurantisolimonas haloimpatiens,Aurantisolimonas haloimpatiens
Auraticoccus cholistanensis,Auraticoccus cholistanensis
Auraticoccus monumenti,Auraticoccus monumenti
Aureibacillus halotolerans,aureibacillus halotoleran
Aureibacter tunicatorum,aureibacter tunicatorum
Aureicoccus marinus,Aureicoccus marinus
Aureimonas altamirensis,Aureimonas altamirensis
Aureimonas endophytica,Aureimonas endophytica
Aureimonas ferruginea,Aureimonas ferruginea
Aureimonas flava,Aureimonas flava
Aureimonas fodinaquatilis,Aureimonas fodinaquatilis
Aureimonas frigidaquae,Aureimonas frigidaquae
Aureimonas galii,Aureimonas galii
Aureimonas glaciei,Aureimonas glaciei
Aureimonas glaciistagni,Aureimonas glaciistagni
Aureimonas jatrophae,Aureimonas jatrophae
Aureimonas leprariae,Aureimonas leprariae
Aureimonas phyllosphaerae,Aureimonas phyllosphaerae
Aureimonas populi,Aureimonas populi
Aureimonas psammosilenae,Aureimonas psammosilenae
Aureimonas pseudogalii,Aureimonas pseudogalii
Aureimonas rubiginis,aureimonas rubiginis
Aureimonas sp.,Aureimonas sp .
Aureimonas ureilytica,Aureimonas ureilytica
Aureisphaera salina,aureisphaera salina
Aureispira marina,Aureispira marina
Aureispira maritima,Aureispira maritima
Aureitalea marina,Aureitalea marina
Aureivirga marina,Aureivirga marina
Aureliella helgolandensis,Aureliella helgolandensis
Auritidibacter ignavus,auritidibacter ignavus
Auritidibacter sp.,auritidibacter sp .
Austwickia chelonae,Austwickia chelonae
Avibacterium avium,avibacterium avium
Avibacterium endocarditidis,avibacterium endocarditidis
Avibacterium gallinarum,avibacterium gallinarum
Avibacterium paragallinarum,avibacterium paragallinarum
Avibacterium volantium,avibacterium volantium
Azoarcus communis,azoarcus communis
Azoarcus indigens,Azoarcus indigens
Azoarcus nasutitermitis,Azoarcus nasutitermitis
Azoarcus olearius,Azoarcus olearius
Azoarcus rhizosphaerae,azoarcus rhizosphaerae
Azoarcus sp.,azoarcus sp .
Azoarcus taiwanensis,azoarcus taiwanensis
Azohydromonas australica,Azohydromonas australica
Azohydromonas lata,Azohydromonas lata
Azohydromonas sp.,Azohydromonas sp .
Azomonas agilis,Azomonas agilis
Azomonas insignis,Azomonas insignis
Azomonas macrocytogenes,Azomonas macrocytogenes
Azonexus caeni,Azonexus caeni
Azonexus fungiphilus,Azonexus fungiphilus
Azonexus hydrophilus,Azonexus hydrophilus
Azorhizobium caulinodans,azorhizobium caulinodans
Azorhizobium doebereinerae,azorhizobium doebereinerae
Azorhizobium oxalatiphilum,Azorhizobium oxalatiphilum
Azorhizophilus paspali,azorhizophilus paspali
Azospira oryzae,azospira oryzae
Azospira restricta,Azospira restricta
Azospirillum agricola,azospirillum agricola
Azospirillum brasilense,azospirillum brasilense
Azospirillum canadense,azospirillum canadense
Azospirillum doebereinerae,Azospirillum doebereinerae
Azospirillum fermentarium,azospirillum fermentarium
Azospirillum griseum,Azospirillum griseum
Azospirillum halopraeferens,azospirillum halopraeferens
Azospirillum humicireducens,azospirillum humicireducens
Azospirillum largimobile,Azospirillum largimobile
Azospirillum lipoferum,azospirillum lipoferum
Azospirillum melinis,azospirillum melinis
Azospirillum oryzae,azospirillum oryzae
Azospirillum palustre,Azospirillum palustre
Azospirillum picis,azospirillum picis
Azospirillum ramasamyi,Azospirillum ramasamyi
Azospirillum rugosum,azospirillum rugosum
Azospirillum soli,Azospirillum soli
Azospirillum sp.,azospirillum sp .
Azospirillum thiophilum,Azospirillum thiophilum
Azospirillum zeae,azospirillum zeae
Azotobacter armeniacus,azotobacter armeniacus
Azotobacter beijerinckii,azotobacter beijerinckii
Azotobacter bryophylli,azotobacter bryophylli
Azotobacter chroococcum,azotobacter chroococcum
Azotobacter nigricans,azotobacter nigricans
Azotobacter salinestris,azotobacter salinestris
Azotobacter sp.,azotobacter sp .
Azotobacter vinelandii,azotobacter vinelandii
Azovibrio restrictus,Azovibrio restrictus
Bacillus acidicola,bacillus acidicola
Bacillus aequororis,bacillus aequororis
Bacillus aerolatus,bacillus aerolatus
Bacillus albus,Bacillus albus
Bacillus alkalicellulosilyticus,bacillus alkalicellulosilyticus
Bacillus alkalicola,bacillus alkalicola
Bacillus alkalisoli,bacillus alkalisoli
Bacillus altitudinis,bacillus altitudinis
Bacillus alveayuensis,bacillus alveayuensis
Bacillus amyloliquefaciens,Bacillus amyloliquefaciens
Bacillus aneurinilyticus,Bacillus aneurinilyticus
Bacillus aquiflavi,bacillus aquiflavi
Bacillus arbutinivorans,bacillus arbutinivorans
Bacillus arseniciselenatis,bacillus arseniciselenatis
Bacillus atrophaeus,bacillus atrophaeus
Bacillus australimaris,Bacillus australimaris
Bacillus badius,Bacillus badius
Bacillus benzoevorans,Bacillus benzoevorans
Bacillus bingmayongensis,bacillus bingmayongensis
Bacillus cabrialesii,bacillus cabrialesii
Bacillus canaveralius,Bacillus canaveralius
Bacillus capparidis,bacillus capparidis
Bacillus carboniphilus,bacillus carboniphilus
Bacillus cereus,bacillus cereus
Bacillus cheonanensis,bacillus cheonanensis
Bacillus chungangensis,bacillus chungangensis
Bacillus cihuensis,bacillus cihuensis
Bacillus coahuilensis,bacillus coahuilensis
Bacillus coreaensis,bacillus coreaensis
Bacillus cytotoxicus,bacillus cytotoxicus
Bacillus dakarensis,bacillus dakarensis
Bacillus decisifrondis,bacillus decisifrondis
Bacillus dielmonensis,bacillus dielmonensis
Bacillus ectoiniformans,bacillus ectoiniformans
Bacillus fengqiuensis,bacillus fengqiuensis
Bacillus flavothermus,bacillus flavothermus
Bacillus gaemokensis,bacillus gaemokensis
Bacillus gobiensis,bacillus gobiensis
Bacillus halotolerans,bacillus halotoleran
Bacillus haynesii,bacillus haynesii
Bacillus horti,bacillus horti
Bacillus inaquosorum,bacillus inaquosorum
Bacillus infantis,bacillus infantis
Bacillus infernus,bacillus infernus
Bacillus isabeliae,bacillus isabeliae
Bacillus kexueae,bacillus kexueae
Bacillus lacisalsi,bacillus lacisalsi
Bacillus licheniformis,bacillus licheniformis
Bacillus luti,bacillus luti
Bacillus macroides,bacillus macroides
Bacillus manliponensis,bacillus manliponensis
Bacillus manusensis,bacillus manusensis
Bacillus marinisedimentorum,bacillus marinisedimentorum
Bacillus maroccanus,bacillus maroccanus
Bacillus massiliigabonensis,bacillus massiliigabonensis
Bacillus massilioalgeriensis,Bacillus massilioalgeriensis
Bacillus massiliogorillae,bacillus massiliogorillae
Bacillus mediterraneensis,bacillus mediterraneensis
Bacillus mesophilum,bacillus mesophilum
Bacillus mesophilus,bacillus mesophilus
Bacillus methanolicus,bacillus methanolicus
Bacillus mobilis,bacillus mobilis
Bacillus mojavensis,Bacillus mojavensis
Bacillus mycoides,bacillus mycoides
Bacillus nakamurai,Bacillus nakamurai
Bacillus ndiopicus,Bacillus ndiopicus
Bacillus niameyensis,bacillus niameyensis
Bacillus nitratireducens,bacillus nitratireducens
Bacillus oceani,bacillus oceani
Bacillus oleivorans,bacillus oleivoran
Bacillus oryzicola,bacillus oryzicola
Bacillus pacificus,Bacillus pacificus
Bacillus pakistanensis,bacillus pakistanensis
Bacillus paramycoides,bacillus paramycoides
Bacillus paranthracis,bacillus paranthracis
Bacillus pervagus,bacillus pervagus
Bacillus phocaeensis,bacillus phocaeensis
Bacillus piscicola,bacillus piscicola
Bacillus piscis,bacillus piscis
Bacillus proteolyticus,bacillus proteolyticus
Bacillus pseudalcaliphilus,bacillus pseudalcaliphilus
Bacillus pseudomycoides,bacillus pseudomycoides
Bacillus pumilus,bacillus pumilus
Bacillus purgationiresistens,bacillus purgationiresistens
Bacillus rubiinfantis,bacillus rubiinfantis
Bacillus rugosus,bacillus rugosus
Bacillus safensis,bacillus safensis
Bacillus safensis subsp. osmophilus,bacillus safensis subsp . osmophilus
Bacillus safensis subsp. safensis,bacillus safensis subsp . safensis
Bacillus salacetis,bacillus salacetis
Bacillus salis,bacillus salis
Bacillus salitolerans,bacillus salitolerans
Bacillus seohaeanensis,bacillus seohaeanensis
Bacillus shivajii,bacillus shivajii
Bacillus siamensis,bacillus siamensis
Bacillus sinesaloumensis,bacillus sinesaloumensis
Bacillus smithii,bacillus smithii
Bacillus solimangrovi,Bacillus solimangrovi
Bacillus solitudinis,bacillus solitudinis
Bacillus songklensis,bacillus songklensis
Bacillus sonorensis,bacillus sonorensis
Bacillus sp.,bacillus sp .
Bacillus spizizenii,bacillus spizizenii
Bacillus spongiae,bacillus spongiae
Bacillus stercoris,bacillus stercoris
Bacillus subtilis,bacillus subtilis
Bacillus subtilis subsp. subtilis,bacillus subtilis subsp . subtilis
Bacillus swezeyi,bacillus swezeyi
Bacillus taeanensis,bacillus taeanensis
Bacillus tamaricis,bacillus tamaricis
Bacillus telluris,bacillus telluris
Bacillus tepidiphilus,bacillus tepidiphilus
Bacillus tequilensis,bacillus tequilensis
Bacillus testis,bacillus testis
Bacillus thaonhiensis,bacillus thaonhiensis
Bacillus thermoamylovorans,bacillus thermoamylovoran
Bacillus thermocloacae,bacillus thermocloacae
Bacillus thermotolerans,bacillus thermotoleran
Bacillus thuringiensis,bacillus thuringiensis
Bacillus tianmuensis,bacillus tianmuensis
Bacillus tianshenii,bacillus tianshenii
Bacillus timonensis,bacillus timonensis
Bacillus toyonensis,bacillus toyonensis
Bacillus tropicus,bacillus tropicus
Bacillus vallismortis,bacillus vallismortis
Bacillus velezensis,bacillus velezensis
Bacillus wiedmannii,bacillus wiedmannii
Bacillus wudalianchiensis,bacillus wudalianchiensis
Bacillus xiamenensis,bacillus xiamenensis
Bacillus xiapuensis,bacillus xiapuensis
Bacillus yapensis,bacillus yapensis
Bacillus zhangzhouensis,bacillus zhangzhouensis
Bacterioplanoides pacificum,bacterioplanoides pacificum
Bacteriovorax stolpii,bacteriovorax stolpii
Bacteroides acidifaciens,bacteroides acidifaciens
Bacteroides bouchesdurhonensis,bacteroides bouchesdurhonensis
Bacteroides caccae,bacteroides caccae
Bacteroides caecicola,Bacteroides caecicola
Bacteroides caecimuris,bacteroides caecimuris
Bacteroides cellulosilyticus,bacteroides cellulosilyticus
Bacteroides clarus,Bacteroides clarus
Bacteroides congonensis,Bacteroides congonensis
Bacteroides coprosuis,Bacteroides coprosuis
Bacteroides eggerthii,Bacteroides eggerthii
Bacteroides faecalis,Bacteroides faecalis
Bacteroides faecichinchillae,bacteroides faecichinchillae
Bacteroides faecis,bacteroides faecis
Bacteroides finegoldii,bacteroides finegoldii
Bacteroides fluxus,bacteroides fluxus
Bacteroides fragilis,Bacteroides fragilis
Bacteroides galacturonicus,Bacteroides galacturonicus
Bacteroides gallinaceum,Bacteroides gallinaceum
Bacteroides gallinarum,Bacteroides gallinarum
Bacteroides graminisolvens,bacteroides graminisolvens
Bacteroides helcogenes,bacteroides helcogene
Bacteroides intestinalis,bacteroides intestinalis
Bacteroides koreensis,Bacteroides koreensis
Bacteroides kribbi,Bacteroides kribbi
Bacteroides luhongzhouii,Bacteroides luhongzhouii
Bacteroides luti,Bacteroides luti
Bacteroides neonati,bacteroides neonati
Bacteroides nordii,Bacteroides nordii
Bacteroides oleiciplenus,bacteroides oleiciplenus
Bacteroides ovatus,bacteroides ovatus
Bacteroides propionicifaciens,Bacteroides propionicifaciens
Bacteroides pyogenes,bacteroides pyogene
Bacteroides reticulotermitis,Bacteroides reticulotermitis
Bacteroides rodentium,bacteroides rodentium
Bacteroides salyersiae,Bacteroides salyersiae
Bacteroides sedimenti,bacteroides sedimenti
Bacteroides sp.,Bacteroides sp .
Bacteroides stercorirosoris,bacteroides stercorirosoris
Bacteroides stercoris,bacteroides stercoris
Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron
Bacteroides timonensis,Bacteroides timonensis
Bacteroides togonis,Bacteroides togonis
Bacteroides uniformis,bacteroides uniformis
Bacteroides xylanisolvens,Bacteroides xylanisolvens
Bacteroides zhangwenhongii,Bacteroides zhangwenhongii
Baekduia sp.,Baekduia sp .
Baia soyae,Baia soyae
Baileyella intestinalis,baileyella intestinalis
Bailinhaonella thermotolerans,Bailinhaonella thermotoleran
Balnearium lithotrophicum,balnearium lithotrophicum
Balneatrix alpica,Balneatrix alpica
Balneicella halophila,Balneicella halophila
Balneimonas flocculans,Balneimonas flocculan
Balneola alkaliphila,Balneola alkaliphila
Balneola vulgaris,Balneola vulgaris
Bariatricus massiliensis,bariatricus massiliensis
Barnesiella intestinihominis,barnesiella intestinihominis
Barnesiella sp.,Barnesiella sp .
Barnesiella viscericola,Barnesiella viscericola
Barrientosiimonas humi,Barrientosiimonas humi
Barrientosiimonas marina,Barrientosiimonas marina
Barrientosiimonas sp.,Barrientosiimonas sp .
Bartonella acomydis,Bartonella acomydis
Bartonella alsatica,Bartonella alsatica
Bartonella ancashensis,Bartonella ancashensis
Bartonella apis,Bartonella apis
Bartonella australis,Bartonella australis
Bartonella bacilliformis,bartonella bacilliformis
Bartonella birtlesii,Bartonella birtlesii
Bartonella bovis,Bartonella bovis
Bartonella callosciuri,Bartonella callosciuri
Bartonella capreoli,Bartonella capreoli
Bartonella chomelii,Bartonella chomelii
Bartonella clarridgeiae,bartonella clarridgeiae
Bartonella coopersplainsensis,Bartonella coopersplainsensis
Bartonella doshiae,bartonella doshiae
Bartonella elizabethae,Bartonella elizabethae
Bartonella florencae,bartonella florencae
Bartonella fuyuanensis,Bartonella fuyuanensis
Bartonella grahamii,Bartonella grahamii
Bartonella heixiaziensis,bartonella heixiaziensis
Bartonella henselae,Bartonella henselae
Bartonella jaculi,Bartonella jaculi
Bartonella japonica,Bartonella japonica
Bartonella koehlerae,Bartonella koehlerae
Bartonella mastomysi,Bartonella mastomysi
Bartonella pachyuromydis,Bartonella pachyuromydis
Bartonella phoceensis,bartonella phoceensis
Bartonella queenslandensis,Bartonella queenslandensis
Bartonella quintana,Bartonella quintana
Bartonella rattaustraliani,Bartonella rattaustraliani
Bartonella rattimassiliensis,Bartonella rattimassiliensis
Bartonella rochalimae,Bartonella rochalimae
Bartonella schoenbuchensis,Bartonella schoenbuchensis
Bartonella senegalensis,Bartonella senegalensis
Bartonella silvatica,Bartonella silvatica
Bartonella sp.,Bartonella sp .
Bartonella tamiae,Bartonella tamiae
Bartonella taylorii,Bartonella taylorii
Bartonella tribocorum,bartonella tribocorum
Bartonella vinsonii,Bartonella vinsonii
Bartonella vinsonii subsp. arupensis,Bartonella vinsonii subsp . arupensis
Bartonella vinsonii subsp. berkhoffii,Bartonella vinsonii subsp . berkhoffii
Bartonella washoensis subsp. cynomysi,Bartonella washoensis subsp . cynomysi
Basfia succiniciproducens,Basfia succiniciproducens
Basilea psittacipulmonis,Basilea psittacipulmonis
Bavariicoccus seileri,Bavariicoccus seileri
Bdellovibrio bacteriovorus,bdellovibrio bacteriovorus
Beduini massiliensis,beduini massiliensis
Beggiatoa alba,Beggiatoa alba
Beggiatoa leptomitoformis,beggiatoa leptomitoformis
Beijerinckia derxii,Beijerinckia derxii
Beijerinckia derxii subsp. venezuelae,Beijerinckia derxii subsp . venezuelae
Beijerinckia doebereinerae,Beijerinckia doebereinerae
Beijerinckia indica,Beijerinckia indica
Beijerinckia indica subsp. indica,Beijerinckia indica subsp . indica
Beijerinckia indica subsp. lacticogenes,Beijerinckia indica subsp . lacticogenes
Beijerinckia mobilis,Beijerinckia mobili
Beijerinckia sp.,Beijerinckia sp .
Belliella aquatica,Belliella aquatica
Belliella baltica,Belliella baltica
Belliella buryatensis,Belliella buryatensis
Belliella kenyensis,Belliella kenyensis
Belliella pelovolcani,belliella pelovolcani
Bellilinea caldifistulae,Bellilinea caldifistulae
Belnapia moabensis,Belnapia moabensis
Belnapia rosea,Belnapia rosea
Belnapia soli,Belnapia soli
Beneckea nereis,Beneckea nereis
Beneckea nigripulchritudo,beneckea nigripulchritudo
Bergeriella denitrificans,Bergeriella denitrifican
Bergeyella cardium,Bergeyella cardium
Bergeyella porcorum,Bergeyella porcorum
Bergeyella sp.,Bergeyella sp .
Bergeyella zoohelcum,Bergeyella zoohelcum
Bermanella marisrubri,Bermanella marisrubri
Bernardetia litoralis,Bernardetia litoralis
Berryella intestinalis,berryella intestinalis
Beutenbergia cavernae,Beutenbergia cavernae
Bhargavaea beijingensis,bhargavaea beijingensis
Bhargavaea cecembensis,Bhargavaea cecembensis
Bhargavaea ginsengi,Bhargavaea ginsengi
Bhargavaea indica,bhargavaea indica
Bhargavaea ullalensis,Bhargavaea ullalensis
Bibersteinia trehalosi,Bibersteinia trehalosi
Bifidobacterium actinocoloniiforme,bifidobacterium actinocoloniiforme
Bifidobacterium adolescentis,bifidobacterium adolescentis
Bifidobacterium aemilianum,bifidobacterium aemilianum
Bifidobacterium aerophilum,bifidobacterium aerophilum
Bifidobacterium aesculapii,bifidobacterium aesculapii
Bifidobacterium angulatum,bifidobacterium angulatum
Bifidobacterium animalis,bifidobacterium animalis
Bifidobacterium animalis subsp. animalis,bifidobacterium animalis subsp . animalis
Bifidobacterium animalis subsp. lactis,bifidobacterium animalis subsp . lactis
Bifidobacterium anseris,bifidobacterium anseris
Bifidobacterium apri,bifidobacterium apri
Bifidobacterium aquikefiri,bifidobacterium aquikefiri
Bifidobacterium asteroides,bifidobacterium asteroides
Bifidobacterium avesanii,bifidobacterium avesanii
Bifidobacterium biavatii,bifidobacterium biavatii
