species,species_lemmatized
Acinetobacter bereziniae,acinetobacter bereziniae
Acinetobacter bohemicus,acinetobacter bohemicus
Acinetobacter boissieri,acinetobacter boissieri
Acinetobacter bouvetii,acinetobacter bouvetii
Acinetobacter brisouii,acinetobacter brisouii
Acinetobacter calcoaceticus,acinetobacter calcoaceticus
Acinetobacter celticus,acinetobacter celticus
Acinetobacter chengduensis,acinetobacter chengduensis
Acinetobacter colistiniresistens,acinetobacter colistiniresistens
Acinetobacter courvalinii,acinetobacter courvalinii
Acinetobacter defluvii,acinetobacter defluvii
Acinetobacter dispersus,acinetobacter dispersus
Acinetobacter equi,acinetobacter equi
Acinetobacter gandensis,acinetobacter gandensis
Acinetobacter gerneri,acinetobacter gerneri
Acinetobacter guillouiae,acinetobacter guillouiae
Acinetobacter gyllenbergii,acinetobacter gyllenbergii
Acinetobacter haemolyticus,acinetobacter haemolyticus
Acinetobacter halotolerans,acinetobacter halotoleran
Acinetobacter harbinensis,acinetobacter harbinensis
Acinetobacter indicus,acinetobacter indicus
Acinetobacter johnsonii,acinetobacter johnsonii
Acinetobacter junii,acinetobacter junii
Acinetobacter kookii,acinetobacter kookii
Acinetobacter lactucae,acinetobacter lactucae
Acinetobacter lanii,acinetobacter lanii
Acinetobacter larvae,acinetobacter larva
Acinetobacter lwoffii,acinetobacter lwoffii
Acinetobacter marinus,acinetobacter marinus
Acinetobacter mesopotamicus,acinetobacter mesopotamicus
Acinetobacter modestus,acinetobacter modestus
Acinetobacter nectaris,acinetobacter nectaris
Acinetobacter nosocomialis,acinetobacter nosocomialis
Acinetobacter oleivorans,acinetobacter oleivorans
Acinetobacter oryzae,acinetobacter oryzae
Acinetobacter parvus,acinetobacter parvus
Acinetobacter piscicola,acinetobacter piscicola
Acinetobacter pittii,acinetobacter pittii
Acinetobacter plantarum,acinetobacter plantarum
Acinetobacter pragensis,acinetobacter pragensis
Acinetobacter proteolyticus,acinetobacter proteolyticus
Acinetobacter pseudolwoffii,acinetobacter pseudolwoffii
Acinetobacter pullicarnis,acinetobacter pullicarnis
Acinetobacter pullorum,acinetobacter pullorum
Acinetobacter puyangensis,acinetobacter puyangensis
Acinetobacter qingfengensis,acinetobacter qingfengensis
Acinetobacter radioresistens,acinetobacter radioresisten
Acinetobacter refrigeratoris,acinetobacter refrigeratoris
Acinetobacter rudis,acinetobacter rudis
Acinetobacter schindleri,acinetobacter schindleri
Acinetobacter seifertii,acinetobacter seifertii
Acinetobacter seohaensis,acinetobacter seohaensis
Acinetobacter septicus,acinetobacter septicus
Acinetobacter shaoyimingii,acinetobacter shaoyimingii
Acinetobacter sichuanensis,acinetobacter sichuanensis
Acinetobacter soli,acinetobacter soli
Acinetobacter sp.,acinetobacter sp .
Acinetobacter tandoii,acinetobacter tandoii
Acinetobacter tjernbergiae,acinetobacter tjernbergiae
Acinetobacter towneri,acinetobacter towneri
Acinetobacter ursingii,acinetobacter ursingii
Acinetobacter variabilis,acinetobacter variabilis
Acinetobacter venetianus,acinetobacter venetianus
Acinetobacter vivianii,acinetobacter vivianii
Acinetobacter wanghuae,acinetobacter wanghuae
Acinetobacter wuhouensis,acinetobacter wuhouensis
Acrocarpospora corrugata,acrocarpospora corrugata
Acrocarpospora macrocephala,acrocarpospora macrocephala
Acrocarpospora phusangensis,acrocarpospora phusangensis
Acrocarpospora pleiomorpha,acrocarpospora pleiomorpha
Actibacter haliotis,actibacter haliotis
Actibacter sediminis,actibacter sediminis
Actibacterium mucosum,actibacterium mucosum
Actibacterium naphthalenivorans,actibacterium naphthalenivorans
Actibacterium pelagium,actibacterium pelagium
Actibacterium ureilyticum,actibacterium ureilyticum
Actimicrobium antarcticum,actimicrobium antarcticum
Actinoallomurus acaciae,Actinoallomurus acaciae
Actinoallomurus acanthiterrae,Actinoallomurus acanthiterrae
Actinoallomurus amamiensis,Actinoallomurus amamiensis
Actinoallomurus bryophytorum,Actinoallomurus bryophytorum
Actinoallomurus caesius,Actinoallomurus caesius
Actinoallomurus coprocola,Actinoallomurus coprocola
Actinoallomurus fulvus,Actinoallomurus fulvus
Actinoallomurus iriomotensis,Actinoallomurus iriomotensis
Actinoallomurus liliacearum,Actinoallomurus liliacearum
Actinoallomurus luridus,Actinoallomurus luridus
Actinoallomurus oryzae,Actinoallomurus oryzae
Actinoallomurus purpureus,Actinoallomurus purpureus
Actinoallomurus radicium,Actinoallomurus radicium
Actinoallomurus sp.,Actinoallomurus sp .
Actinoallomurus spadix,Actinoallomurus spadix
Actinoallomurus vinaceus,Actinoallomurus vinaceus
Actinoallomurus yoronensis,Actinoallomurus yoronensis
Actinoalloteichus cyanogriseus,Actinoalloteichus cyanogriseus
Actinoalloteichus fjordicus,Actinoalloteichus fjordicus
Actinoalloteichus hoggarensis,Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis,Actinoalloteichus hymeniacidonis
Actinoalloteichus nanshanensis,Actinoalloteichus nanshanensis
Actinoalloteichus sp.,actinoalloteichus sp .
Actinoalloteichus spitiensis,Actinoalloteichus spitiensis
Actinobacillus anseriformium,Actinobacillus anseriformium
Actinobacillus arthritidis,Actinobacillus arthritidis
Actinobacillus capsulatus,Actinobacillus capsulatus
Actinobacillus delphinicola,Actinobacillus delphinicola
Actinobacillus equuli,Actinobacillus equuli
Actinobacillus equuli subsp. haemolyticus,Actinobacillus equuli subsp . haemolyticus
Actinobacillus hominis,actinobacillus hominis
Actinobacillus indolicus,Actinobacillus indolicus
Actinobacillus lignieresii,actinobacillus lignieresii
Actinobacillus minor,Actinobacillus minor
Actinobacillus pleuropneumoniae,Actinobacillus pleuropneumoniae
Actinobacillus porcinus,Actinobacillus porcinus
Actinobacillus porcitonsillarum,Actinobacillus porcitonsillarum
Actinobacillus rossii,Actinobacillus rossii
Actinobacillus scotiae,actinobacillus scotiae
Actinobacillus seminis,actinobacillus seminis
Actinobacillus sp.,actinobacillus sp .
Actinobacillus succinogenes,actinobacillus succinogenes
Actinobacillus suis,Actinobacillus suis
Actinobacillus ureae,Actinobacillus ureae
Actinobacillus vicugnae,Actinobacillus vicugnae
Actinobaculum massiliense,Actinobaculum massiliense
Actinobaculum sp.,actinobaculum sp .
Actinobaculum suis,Actinobaculum suis
Actinobaculum timonae,Actinobaculum timonae
Actinocatenispora rupis,actinocatenispora rupis
Actinocatenispora sera,actinocatenispora sera
Actinocatenispora thailandica,actinocatenispora thailandica
Actinocorallia aurantiaca,Actinocorallia aurantiaca
Actinocorallia aurea,Actinocorallia aurea
Actinocorallia cavernae,Actinocorallia cavernae
Actinocorallia glomerata,actinocorallia glomerata
Actinocorallia herbida,Actinocorallia herbida
Actinocorallia lasiicapitis,actinocorallia lasiicapitis
Actinocorallia libanotica,Actinocorallia libanotica
Actinocorallia longicatena,Actinocorallia longicatena
Actinocorallia populi,actinocorallia populi
Actinocrinis puniceicyclus,Actinocrinis puniceicyclus
Actinocrispum wychmicini,actinocrispum wychmicini
Actinokineospora acnipugnans,Actinokineospora acnipugnans
Actinokineospora alba,Actinokineospora alba
Actinokineospora auranticolor,Actinokineospora auranticolor
Actinokineospora baliensis,Actinokineospora baliensis
Actinokineospora bangkokensis,actinokineospora bangkokensis
Actinokineospora cianjurensis,Actinokineospora cianjurensis
Actinokineospora cibodasensis,actinokineospora cibodasensis
Actinokineospora diospyrosa,actinokineospora diospyrosa
Actinokineospora enzanensis,actinokineospora enzanensis
Actinokineospora fastidiosa,actinokineospora fastidiosa
Actinokineospora globicatena,actinokineospora globicatena
Actinokineospora guangxiensis,actinokineospora guangxiensis
Actinokineospora inagensis,actinokineospora inagensis
Actinokineospora mzabensis,actinokineospora mzabensis
Actinokineospora riparia,actinokineospora riparia
Actinokineospora soli,Actinokineospora soli
Actinokineospora sp.,Actinokineospora sp .
Actinokineospora spheciospongiae,actinokineospora spheciospongiae
Actinokineospora terrae,Actinokineospora terrae
Actinomadura adrarensis,Actinomadura adrarensis
Actinomadura alba,Actinomadura alba
Actinomadura algeriensis,Actinomadura algeriensis
Actinomadura alkaliterrae,Actinomadura alkaliterrae
Actinomadura apis,Actinomadura apis
Actinomadura atramentaria,Actinomadura atramentaria
Actinomadura bangladeshensis,Actinomadura bangladeshensis
Actinomadura barringtoniae,Actinomadura barringtoniae
Actinomadura catellatispora,actinomadura catellatispora
Actinomadura chibensis,Actinomadura chibensis
Actinomadura chokoriensis,Actinomadura chokoriensis
Actinomadura citrea,Actinomadura citrea
Actinomadura coerulea,Actinomadura coerulea
Actinomadura craniellae,Actinomadura craniellae
Actinomadura cremea,Actinomadura cremea
Actinomadura darangshiensis,Actinomadura darangshiensis
Actinomadura decatromicini,actinomadura decatromicini
Actinomadura deserti,Actinomadura deserti
Actinomadura fibrosa,Actinomadura fibrosa
Actinomadura flavalba,Actinomadura flavalba
Actinomadura formosensis,Actinomadura formosensis
Actinomadura fulvescens,Actinomadura fulvescens
Actinomadura gamaensis,Actinomadura gamaensis
Actinomadura geliboluensis,Actinomadura geliboluensis
Actinomadura glauciflava,Actinomadura glauciflava
Actinomadura hallensis,Actinomadura hallensis
Actinomadura harenae,Actinomadura harenae
Actinomadura hibisca,Actinomadura hibisca
