species_names
Aciditerrimonas ferrireducens
Aciditerrimonas ferrireducens gen. nov.
Acidithiobacillus albertensis
Acidithiobacillus caldus
Acidithiobacillus ferrianus
Acidithiobacillus ferridurans
Acidithiobacillus ferridurans sp. nov.
Acidithiobacillus ferriphilus
Acidithiobacillus ferriphilus sp. nov.
Acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans
Acidithiobacillus sp.
Acidithiobacillus sulfuriphilus
Acidithiobacillus sulfuriphilus sp. nov.
Acidithiobacillus thiooxidans
Acidithrix ferrooxidans
Acidobacterium ailaaui
Acidobacterium capsulatum
Acidobacterium sp.
Acidocella aluminiidurans
Acidocella aluminiidurans sp. nov.
Acidocella aquatica
Acidocella aquatica sp. nov.
Acidocella aromatica
Acidomonas methanolica
Acidothermus cellulolyticus
Acidovorax antarcticus
Acidovorax antarcticus sp. nov.
Acidovorax anthurii
Acidovorax anthurii sp. nov.
Acidovorax avenae
Acidovorax caeni
Acidovorax caeni sp. nov.
Acidovorax carolinensis
Acidovorax cattleyae
Acidovorax citrulli
Acidovorax defluvii
Acidovorax delafieldii
Acidovorax facilis
Acidovorax kalamii
Acidovorax kalamii sp. nov.
Acidovorax lacteus
Acidovorax oryzae
Acidovorax radicis
Acidovorax radicis sp. nov.
Acidovorax soli
Acidovorax soli sp. nov.
Acidovorax sp.
Acidovorax temperans
Acidovorax valerianellae
Acidovorax valerianellae sp. nov.
Acidovorax wautersii
Aciduliprofundum boonei
Acinetobacter albensis
Acinetobacter albensis sp. nov.
Acinetobacter apis
Acinetobacter baumannii
Acinetobacter baylyi
Acinetobacter beijerinckii
Acinetobacter beijerinckii sp. nov.
Acinetobacter bereziniae
Acinetobacter bereziniae sp. nov.
Acinetobacter bohemicus
Acinetobacter boissieri
Acinetobacter bouvetii
Acinetobacter brisouii
Acinetobacter calcoaceticus
Acinetobacter celticus
Acinetobacter chengduensis
Acinetobacter colistiniresistens
Acinetobacter colistiniresistens sp. nov.
Acinetobacter courvalinii
Acinetobacter defluvii
Acinetobacter defluvii sp. nov.
Acinetobacter dijkshoorniae
Acinetobacter dijkshoorniae sp. nov.
Acinetobacter dispersus
Acinetobacter equi
Acinetobacter equi sp. nov.
Acinetobacter gandensis
Acinetobacter gandensis sp. nov.
Acinetobacter geminorum
Acinetobacter geminorum sp. nov.
Acinetobacter gerneri
Acinetobacter guangdongensis
Acinetobacter guangdongensis sp. nov.
